"no_reg","pilihan"
"20200034","Jejaring Sosial"
"20200531","Website infopmb.itpln.ac.id"
"20200531","Jejaring Sosial"
"20200932","Website infopmb.itpln.ac.id"
"20203353","Jejaring Sosial"
"20204316","Jejaring Sosial"
"20206049","Jejaring Sosial"
"20206762","Website infopmb.itpln.ac.id"
"20208887","Jejaring Sosial"
"202000031","Teman "
"202010224","Guru / Sekolah"
"202011300","Guru / Sekolah"
"202011300","Teman "
"202011300","Jejaring Sosial"
"202012067","Website infopmb.itpln.ac.id"
"202013644","Teman "
"202016428","Website infopmb.itpln.ac.id"
"202016468","Teman "
"202016468","Jejaring Sosial"
"202018047","Jejaring Sosial"
"202019604","Teman "
"202019604","Jejaring Sosial"
"202020094","Email / SMS Broadcast"
"202020094","Website infopmb.itpln.ac.id"
"202021058","Website infopmb.itpln.ac.id"
"211000069","Jejaring Sosial"
"211000375","Website infopmb.itpln.ac.id"
"211000880","Website infopmb.itpln.ac.id"
"211000912","Guru / Sekolah"
"211001350","Website infopmb.itpln.ac.id"
"211002025","Media Cetak (Surat Kabar, Koran, Majalah)"
"211002025","Website infopmb.itpln.ac.id"
"211002025","Media Promosi Cetak (Poster, Flyer, Brosur)"
"211003695","Jejaring Sosial"
"211004181","Website Lain"
"211004393","Jejaring Sosial"
"211004393","Website infopmb.itpln.ac.id"
"211004393","Teman "
"211004409","Jejaring Sosial"
"211004704","Media Cetak (Surat Kabar, Koran, Majalah)"
"211005748","Jejaring Sosial"
"211005748","Website Lain"
"211005748","Teman "
"211005830","Jejaring Sosial"
"211005878","Website infopmb.itpln.ac.id"
"221000014","Media Cetak (Surat Kabar, Koran, Majalah)"
"221000014","Website infopmb.itpln.ac.id"
"221000014","Media Elektronik (Televisi, Radio)"
"221000014","Media Promosi Cetak (Poster, Flyer, Brosur)"
"221000023","Jejaring Sosial"
"221000107","Jejaring Sosial"
"221000107","Website infopmb.itpln.ac.id"
"221000138","Teman "
"221000138","Website infopmb.itpln.ac.id"
"221000221","Teman "
"221000221","Media Promosi Cetak (Poster, Flyer, Brosur)"
"221000222","Website infopmb.itpln.ac.id"
"221000237","Website infopmb.itpln.ac.id"
"221000237","Teman "
"221000237","Jejaring Sosial"
"221000260","Media Promosi Cetak (Poster, Flyer, Brosur)"
"221000342","Website Lain"
"221000376","Jejaring Sosial"
"221000376","Website Lain"
"221000501","Jejaring Sosial"
"221000552","Jejaring Sosial"
"221000605","Guru / Sekolah"
"221000611","Website infopmb.itpln.ac.id"
"221000611","Jejaring Sosial"
"221000611","Media Cetak (Surat Kabar, Koran, Majalah)"
"221000733","Teman "
"221000801","Forum Diskusi Online"
"221000801","Guru / Sekolah"
"221000932","Teman "
"221000932","Jejaring Sosial"
"221000932","Guru / Sekolah"
"221000932","Media Elektronik (Televisi, Radio)"
"221001061","Media Promosi Cetak (Poster, Flyer, Brosur)"
"221001061","Media Cetak (Surat Kabar, Koran, Majalah)"
"221001142","Website infopmb.itpln.ac.id"
"221001142","Teman "
"221001142","Jejaring Sosial"
"221001149","Jejaring Sosial"
"221001197","Teman "
"221001253","Teman "
"221001253","Jejaring Sosial"
"221001296","Website infopmb.itpln.ac.id"
"221001296","Email / SMS Broadcast"
"221001296","Teman "
"221001296","Guru / Sekolah"
"221001296","Jejaring Sosial"
"221001388","Website Lain"
"221001388","Jejaring Sosial"
"221001460","Teman "
"221001460","Guru / Sekolah"
"221001509","Website infopmb.itpln.ac.id"
"221001509","Jejaring Sosial"
"221001517","Jejaring Sosial"
"221001533","Jejaring Sosial"
"221001533","Website infopmb.itpln.ac.id"
"221001533","Website Lain"
"221001608","Jejaring Sosial"
"221001608","Website infopmb.itpln.ac.id"
"221001612","Jejaring Sosial"
"221001709","Jejaring Sosial"
"221001774","Guru / Sekolah"
"221001781","Spanduk"
"221001781","Teman "
"221001853","Website infopmb.itpln.ac.id"
"221002018","Website infopmb.itpln.ac.id"
"221002028","Media Promosi Cetak (Poster, Flyer, Brosur)"
"221002086","Email / SMS Broadcast"
"221002119","Jejaring Sosial"
"221002119","Media Promosi Cetak (Poster, Flyer, Brosur)"
"221002119","Spanduk"
"221002119","Email / SMS Broadcast"
"221002119","Website infopmb.itpln.ac.id"
"221002119","Teman "
"221002119","Website Lain"
"221002119","Forum Diskusi Online"
"221002119","Media Cetak (Surat Kabar, Koran, Majalah)"
"221002119","HIMDA"
"221002119","Guru / Sekolah"
"221002119","Media Elektronik (Televisi, Radio)"
"221002182","Media Promosi Cetak (Poster, Flyer, Brosur)"
"221002182","Website infopmb.itpln.ac.id"
"221002182","Media Cetak (Surat Kabar, Koran, Majalah)"
"221002248","Website infopmb.itpln.ac.id"
"221002322","Website infopmb.itpln.ac.id"
"221002335","Jejaring Sosial"
"221002347","Website infopmb.itpln.ac.id"
"221002406","Website Lain"
"221002485","Jejaring Sosial"
"221002485","Website infopmb.itpln.ac.id"
"221002487","Website infopmb.itpln.ac.id"
"221002488","Website Lain"
"221002490","Website infopmb.itpln.ac.id"
"221002510","Jejaring Sosial"
"221002510","Website Lain"
"221002580","Website infopmb.itpln.ac.id"
"221002624","Media Elektronik (Televisi, Radio)"
"221002645","Website infopmb.itpln.ac.id"
"221002798","Teman "
"221002803","Jejaring Sosial"
"221002803","Teman "
"221002955","Teman "
"221003000","Jejaring Sosial"
"221003000","Teman "
"221003034","Website infopmb.itpln.ac.id"
"221003122","Teman "
"221003156","Media Promosi Cetak (Poster, Flyer, Brosur)"
"221003156","Jejaring Sosial"
"221003156","Website infopmb.itpln.ac.id"
"221003205","Jejaring Sosial"
"221003205","Website Lain"
"221003271","Email / SMS Broadcast"
"221003271","Teman "
"221003337","Teman "
"221003337","Guru / Sekolah"
"221003472","Jejaring Sosial"
"221003510","Teman "
"221003519","Jejaring Sosial"
"221003520","Teman "
"221003560","Jejaring Sosial"
"221003628","Email / SMS Broadcast"
"221003706","Teman "
"221003745","Jejaring Sosial"
"221003745","Media Cetak (Surat Kabar, Koran, Majalah)"
"221003814","Teman "
"221003844","Website infopmb.itpln.ac.id"
"221003936","Teman "
"221003936","Jejaring Sosial"
"221003967","Website Lain"
"221004045","Guru / Sekolah"
"221004045","Media Promosi Cetak (Poster, Flyer, Brosur)"
"221004045","Jejaring Sosial"
"221004045","Media Cetak (Surat Kabar, Koran, Majalah)"
"221004045","Website infopmb.itpln.ac.id"
"221004045","Teman "
"221004156","Teman "
"221004156","Guru / Sekolah"
"221004156","Website infopmb.itpln.ac.id"
"221004179","Website infopmb.itpln.ac.id"
"221004221","Website infopmb.itpln.ac.id"
"221004232","Website infopmb.itpln.ac.id"
"221004374","Website infopmb.itpln.ac.id"
"221004378","Website infopmb.itpln.ac.id"
"221004434","Website infopmb.itpln.ac.id"
"221004434","Jejaring Sosial"
"221004434","Website Lain"
"221004438","Guru / Sekolah"
"221004551","Website infopmb.itpln.ac.id"
"221004564","Website infopmb.itpln.ac.id"
"221004567","Website infopmb.itpln.ac.id"
"221004606","Jejaring Sosial"
"221004611","Jejaring Sosial"
"221004749","Website Lain"
"221004805","Jejaring Sosial"
"221005481","Jejaring Sosial"
"221005899","Jejaring Sosial"
"221005899","Teman "
"221006612","Jejaring Sosial"
"222000060","Jejaring Sosial"
"222000060","Teman "
"231000001","Guru / Sekolah"
"231000001","Teman "
"231000001","Website infopmb.itpln.ac.id"
"231000002","Jejaring Sosial"
"231000003","Jejaring Sosial"
"231000004","Jejaring Sosial"
"231000004","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000004","Website infopmb.itpln.ac.id"
"231000005","Website Lain"
"231000006","Jejaring Sosial"
"231000007","Teman "
"231000007","Website infopmb.itpln.ac.id"
"231000008","Jejaring Sosial"
"231000009","Jejaring Sosial"
"231000009","Website infopmb.itpln.ac.id"
"231000010","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000011","Jejaring Sosial"
"231000013","Teman "
"231000013","Jejaring Sosial"
"231000014","Website Lain"
"231000015","Website infopmb.itpln.ac.id"
"231000017","Media Elektronik (Televisi, Radio)"
"231000017","Guru / Sekolah"
"231000017","Teman "
"231000017","Jejaring Sosial"
"231000017","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000017","Website infopmb.itpln.ac.id"
"231000018","Jejaring Sosial"
"231000019","Jejaring Sosial"
"231000020","Guru / Sekolah"
"231000020","Teman "
"231000020","Jejaring Sosial"
"231000020","Forum Diskusi Online"
"231000020","Website infopmb.itpln.ac.id"
"231000022","Jejaring Sosial"
"231000023","Jejaring Sosial"
"231000023","Website infopmb.itpln.ac.id"
"231000024","Website infopmb.itpln.ac.id"
"231000024","Website Lain"
"231000025","Jejaring Sosial"
"231000028","Jejaring Sosial"
"231000029","Website infopmb.itpln.ac.id"
"231000031","Guru / Sekolah"
"231000031","Jejaring Sosial"
"231000032","Jejaring Sosial"
"231000033","Jejaring Sosial"
"231000033","Website infopmb.itpln.ac.id"
"231000034","Jejaring Sosial"
"231000036","Website infopmb.itpln.ac.id"
"231000036","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000036","Jejaring Sosial"
"231000037","Guru / Sekolah"
"231000038","Jejaring Sosial"
"231000039","Website infopmb.itpln.ac.id"
"231000039","Guru / Sekolah"
"231000039","Teman "
"231000040","Guru / Sekolah"
"231000040","Teman "
"231000040","Jejaring Sosial"
"231000041","Jejaring Sosial"
"231000042","Website infopmb.itpln.ac.id"
"231000043","Jejaring Sosial"
"231000043","Email / SMS Broadcast"
"231000044","Jejaring Sosial"
"231000045","Jejaring Sosial"
"231000046","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000048","Jejaring Sosial"
"231000049","Website infopmb.itpln.ac.id"
"231000049","Guru / Sekolah"
"231000050","Website Lain"
"231000050","Website infopmb.itpln.ac.id"
"231000050","Teman "
"231000050","Jejaring Sosial"
"231000053","Website infopmb.itpln.ac.id"
"231000054","Website Lain"
"231000055","Jejaring Sosial"
"231000055","Website infopmb.itpln.ac.id"
"231000055","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000055","Teman "
"231000057","Teman "
"231000058","Guru / Sekolah"
"231000058","Website infopmb.itpln.ac.id"
"231000058","Teman "
"231000059","Jejaring Sosial"
"231000059","Website infopmb.itpln.ac.id"
"231000059","Guru / Sekolah"
"231000059","Teman "
"231000060","Jejaring Sosial"
"231000060","Guru / Sekolah"
"231000060","Website infopmb.itpln.ac.id"
"231000061","Jejaring Sosial"
"231000061","Media Promosi Cetak (Poster, Flyer, Brosur)"
